,prior,historical,posterior,views
ASIANPAINT,0.018908524845794326,0.5144199174910724,0.07647393142289716,0.134039338
AXISBANK,0.019175144029218934,0.18533500707782347,0.049897579514609464,0.080620015
BAJFINANCE,0.01900583204598143,0.8570148597809515,0.1256198310229907,0.23223383
BHARTIARTL,0.01787252554162267,0.0002724175763089143,0.040584958770811336,0.06329739200000001
HCLTECH,0.01889102736537707,0.255032184869884,0.06833978868268854,0.11778855
HDFC,0.017811683797594027,0.16047704111212235,0.04608611839879701,0.074360553
HDFCBANK,0.016242933935118116,0.3302885576696355,0.06071988896755905,0.105196844
HINDUNILVR,0.016500984655405063,0.2891309031919129,0.06643902982770253,0.116377075
ICICIBANK,0.018438227920623818,0.20298886233686697,0.0554643619603119,0.09249049599999999
INFY,0.017881419210456974,0.0643934220639133,0.05741045060522849,0.096939482
ITC,0.018308880889628232,0.3602426651269588,0.044832760944814115,0.071356641
KOTAKBANK,0.018183252515076874,0.16944462015336148,0.06024618225753844,0.102309112
LT,0.019076804654429437,0.007461552057243193,0.03384477832721472,0.048612752
MARUTI,0.018840952757782966,-0.0021795658697405518,0.05224677787889148,0.08565260300000001
NESTLEIND,0.018868326593813513,1.119569296961624,0.13358350229690674,0.248298678
RELIANCE,0.01264992707450403,-0.06224346414440063,0.04791573203725201,0.083181537
SBIN,0.018881971093694445,0.19785239098526608,0.040053250046847226,0.06122452900000001
SUNPHARMA,0.01919665002333178,0.40208283762867003,0.05094305351166589,0.08268945700000001
TCS,0.014514501005900985,0.2232479342314324,0.061871967002950494,0.109229433
WIPRO,0.0191404530650139,0.03261152154802893,0.03628831103250695,0.053436169000000006
